order_id,customer_id,order_date,product_id,quantity,unit_price,status
1001,C101,2026-01-01,P1001,2,13.24,completed
1002,C102,2026-01-02,P1002,3,16.49,completed
1003,C103,2026-01-03,P1003,4,19.74,completed
1004,C104,2026-01-04,P1004,5,22.99,pending
1005,C105,2026-01-05,P1005,1,26.24,cancelled
1006,C106,2026-01-06,P1001,2,29.49,completed
1007,C107,2026-01-07,P1002,3,32.74,completed
1008,C108,2026-01-08,P1003,4,35.99,completed
1009,C109,2026-01-09,P1004,5,39.24,pending
1010,C110,2026-01-10,P1005,1,9.99,cancelled
1011,C111,2026-01-11,P1001,2,13.24,completed
1012,C112,2026-01-12,P1002,3,16.49,completed
1013,C101,2026-01-13,P1003,4,19.74,completed
1014,C102,2026-01-14,P1004,5,22.99,pending
1015,C103,2026-01-15,P1005,1,26.24,cancelled
1016,C104,2026-01-16,P1001,2,29.49,completed
1017,C105,2026-01-17,P1002,3,32.74,completed
1018,C106,2026-01-18,P1003,4,35.99,completed
1019,C107,2026-01-19,P1004,5,39.24,pending
1020,C108,2026-01-20,P1005,1,9.99,cancelled
1021,C109,2026-01-21,P1001,2,13.24,completed
1022,C110,2026-01-22,P1002,3,16.49,completed
1023,C111,2026-01-23,P1003,4,19.74,completed
1024,C112,2026-01-24,P1004,5,22.99,pending
1025,C101,2026-01-25,P1005,1,26.24,cancelled
1026,C102,2026-01-26,P1001,2,29.49,completed
1027,C103,2026-01-27,P1002,3,32.74,completed
1028,C104,2026-01-28,P1003,4,35.99,completed
1029,C105,2026-01-29,P1004,5,39.24,pending
1030,C106,2026-01-30,P1005,1,9.99,cancelled
1031,C107,2026-01-31,P1001,2,13.24,completed
1032,C108,2026-02-01,P1002,3,16.49,completed
1033,C109,2026-02-02,P1003,4,19.74,completed
1034,C110,2026-02-03,P1004,5,22.99,pending
1035,C111,2026-02-04,P1005,1,26.24,cancelled
1036,C112,2026-02-05,P1001,2,29.49,completed
1037,C101,2026-02-06,P1002,3,32.74,completed
1038,C102,2026-02-07,P1003,4,35.99,completed
1039,C103,2026-02-08,P1004,5,39.24,pending
1040,C104,2026-02-09,P1005,1,9.99,cancelled
1041,C105,2026-02-10,P1001,2,13.24,completed
1042,C106,2026-02-11,P1002,3,16.49,completed
1043,C107,2026-02-12,P1003,4,19.74,completed
1044,C108,2026-02-13,P1004,5,22.99,pending
1045,C109,2026-02-14,P1005,1,26.24,cancelled
1046,C110,2026-02-15,P1001,2,29.49,completed
1047,C111,2026-02-16,P1002,3,32.74,completed
1048,C112,2026-02-17,P1003,4,35.99,completed
1049,C101,2026-02-18,P1004,5,39.24,pending
1050,C102,2026-02-19,P1005,1,9.99,cancelled
